"Code","Title","Description"
"3321","Forging and StampingT","NULL"
"33211","Forging and StampingT","This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing forgings from purchased metals; (2) manufacturing metal custom roll forming products; (3) manufacturing metal stamped and spun products (except automotive, cans, coins); and (4) manufacturing powder metallurgy products.  Establishments making metal forgings, metal stampings, and metal spun products and further manufacturing (e.g., machining, assembling) a specific manufactured product are classified in the industry of the finished product.  Metal forging, metal stamping, and metal spun products establishments may perform surface finishing operations, such as cleaning and deburring, on the products they manufacture.

Cross-References. Establishments primarily engaged in--"
"332111","Iron and Steel Forging","This U.S. industry comprises establishments primarily engaged in manufacturing iron and steel forgings from purchased iron and steel by hammering mill shapes.  Establishments making iron and steel forgings and further manufacturing (e.g., machining, assembling) a specific manufactured product are classified in the industry of the finished product.  Iron and steel forging establishments may perform surface finishing operations, such as cleaning and deburring, on the forgings they manufacture.

Cross-References. Establishments primarily engaged in--"
"332112","Nonferrous Forging","This U.S. industry comprises establishments primarily engaged in manufacturing nonferrous forgings from purchased nonferrous metals by hammering mill shapes.  Establishments making nonferrous forgings and further manufacturing (e.g., machining, assembling) a specific manufactured product are classified in the industry of the finished product.  Nonferrous forging establishments may perform surface finishing operations, such as cleaning and deburring, on the forgings they manufacture.

Cross-References. Establishments primarily engaged in--"
"332114","Custom Roll Forming","This U.S. industry comprises establishments primarily engaged in custom roll forming metal products by use of rotary motion of rolls with various contours to bend or shape the products.

Cross-References."
"332117","Powder Metallurgy Part Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing powder metallurgy products using any of the various powder metallurgy processing techniques, such as pressing and sintering or metal injection molding.  Establishments in this industry generally make a wide range of parts on a job or order basis.
"
"332119","Metal Crown, Closure, and Other Metal Stamping (except Automotive)","This U.S. industry comprises establishments primarily engaged in (1) stamping metal crowns and closures, such as bottle caps and home canning lids and rings, and/or (2) manufacturing other unfinished metal stampings and spinning unfinished metal products (except automotive, cans, and coins).  Establishments making metal stampings and metal spun products and further manufacturing (e.g., machining, assembling) a specific product are classified in the industry of the finished product.  Metal stamping and metal spun products establishments may perform surface finishing operations, such as cleaning and deburring, on the products they manufacture.

Cross-References. Establishments primarily engaged in--"
"3322","Cutlery and Handtool ManufacturingT","NULL"
"33221","Cutlery and Handtool ManufacturingT","This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing metal kitchen cookware (except by casting (e.g., cast iron skillets) or stamped without further fabrication), utensils, and/or nonprecious and precious plated metal cutlery and flatware; (2) manufacturing saw blades, all types (including those for power sawing machines); and (3) manufacturing nonpowered handtools and edge tools.

Cross-References. Establishments primarily engaged in--"
"332215","Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing metal kitchen cookware (except by casting (e.g., cast iron skillets) or stamped without further fabrication), utensils, and/or nonprecious and precious plated metal cutlery and flatware.

Cross-References. Establishments primarily engaged in--"
"332216","Saw Blade and Handtool Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing saw blades, all types (including those for power sawing machines) and/or (2) manufacturing nonpowered handtools and edge tools.

Cross-References. Establishments primarily engaged in--"
"3323","Architectural and Structural Metals ManufacturingT","This industry group comprises establishments primarily engaged in manufacturing one or more of the following: (1) prefabricated metal buildings, panels, and sections; (2) structural metal products; (3) metal plate work products; (4) metal framed windows (i.e., typically using purchased glass) and metal doors; (5) sheet metal work; and (6) ornamental and architectural metal products.
"
"33231","Plate Work and Fabricated Structural Product ManufacturingT","This industry comprises establishments primarily engaged in manufacturing one or more of the following: (1) prefabricated metal buildings, panels, and sections; (2) structural metal products; and (3) metal plate work products.

Cross-References. Establishments primarily engaged in--"
"332311","Prefabricated Metal Building and Component Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing prefabricated metal buildings, panels, and sections.

Cross-References. Establishments primarily engaged in--"
"332312","Fabricated Structural Metal Manufacturing","This U.S. industry comprises establishments primarily engaged in fabricating structural metal products, such as assemblies of concrete reinforcing bars and fabricated bar joists.

Cross-References. Establishments primarily engaged in--"
"332313","Plate Work Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing fabricated metal plate work by cutting, punching, bending, shaping, and welding purchased metal plate.

Cross-References. Establishments primarily engaged in--"
"33232","Ornamental and Architectural Metal Products ManufacturingT","This industry comprises establishments primarily engaged in manufacturing one or more of the following: (1) metal framed windows (i.e., typically using purchased glass) and metal doors; (2) sheet metal work; and (3) ornamental and architectural metal products.

Cross-References. Establishments primarily engaged in--"
"332321","Metal Window and Door Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing metal framed windows (i.e., typically using purchased glass) and metal doors.  Examples of products made by these establishments are metal door frames; metal framed window and door screens; and metal molding and trim (except automotive).

Cross-References. Establishments primarily engaged in--"
"332322","Sheet Metal Work Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing sheet metal work (except stampings).

Cross-References. Establishments primarily engaged in--"
"332323","Ornamental and Architectural Metal Work Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing ornamental and architectural metal work, such as staircases, metal open steel flooring, fire escapes, railings, and scaffolding.

Cross-References."
"3324","Boiler, Tank, and Shipping Container ManufacturingT","This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing power boilers and heat exchangers; (2) cutting, forming, and joining heavy gauge metal to manufacture tanks, vessels, and other containers; or (3) forming light gauge metal containers.
"
"33241","Power Boiler and Heat Exchanger ManufacturingT","See industry description for 332410."
"332410","Power Boiler and Heat Exchanger Manufacturing","This industry comprises establishments primarily engaged in manufacturing power boilers and heat exchangers.  Establishments in this industry may perform installation in addition to manufacturing power boilers and heat exchangers.

Cross-References. Establishments primarily engaged in--"
"33242","Metal Tank (Heavy Gauge) ManufacturingT","See industry description for 332420."
"332420","Metal Tank (Heavy Gauge) Manufacturing","This industry comprises establishments primarily engaged in cutting, forming, and joining heavy gauge metal to manufacture tanks, vessels, and other containers.

Cross-References. Establishments primarily engaged in--"
"33243","Metal Can, Box, and Other Metal Container (Light Gauge) ManufacturingT","This industry comprises establishments primarily engaged in forming light gauge metal containers.

Cross-References. Establishments primarily engaged in--"
"332431","Metal Can Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing metal cans, lids, and ends.

Cross-References. Establishments primarily engaged in--"
"332439","Other Metal Container Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing metal (light gauge) containers (except cans).

Illustrative Examples:

Light gauge metal bins manufacturing
Light gauge metal drums manufacturing
Light gauge metal garbage cans manufacturing
Light gauge metal lunch boxes manufacturing
Light gauge metal mailboxes manufacturing
Light gauge metal tool boxes manufacturing
Light gauge metal vats manufacturing
Metal air cargo containers manufacturing
Metal barrels manufacturing
Vacuum bottles and jugs manufacturing


Cross-References. Establishments primarily engaged in--"
"3325","Hardware ManufacturingT","NULL"
"33251","Hardware ManufacturingT","See industry description for 332510."
"332510","Hardware Manufacturing","This industry comprises establishments primarily engaged in manufacturing metal hardware, such as metal hinges, metal handles, keys, and locks (except coin- or card-operated, time locks).

Cross-References. Establishments primarily engaged in--"
"3326","Spring and Wire Product ManufacturingT","NULL"
"33261","Spring and Wire Product ManufacturingT","This industry comprises establishments primarily engaged in (1) manufacturing steel springs by forming, such as cutting, bending, and heat winding, metal rod or strip stock and/or (2) manufacturing wire springs and fabricated wire products from wire drawn elsewhere (except watch and clock springs).

Cross-References. Establishments primarily engaged in--"
"332613","Spring Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing springs from purchased wire, strip, or rod.

Cross-References. Establishments primarily engaged in--"
"332618","Other Fabricated Wire Product Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing fabricated wire products (except springs) made from purchased wire.

Illustrative Examples:

Barbed wire made from purchased wire
Chain link fencing and fence gates made from purchased wire
Metal baskets made from purchased wire
Paper clips made from purchased wire
Nails, brads, and staples made from purchased wire
Noninsulated wire cable made from purchased wire
Woven wire cloth made from purchased wire


Cross-References. Establishments primarily engaged in--"
"3327","Machine Shops; Turned Product; and Screw, Nut, and Bolt ManufacturingT","This industry group comprises establishments primarily engaged in one of the following: (1) operating machine shops primarily engaged in machining metal and plastic parts and parts of other composite materials on a job or order basis; (2) machining precision turned products; or (3) manufacturing metal bolts, nuts, screws, rivets, and other industrial fasteners.
"
"33271","Machine ShopsT","See industry description for 332710."
"332710","Machine Shops","This industry comprises establishments known as machine shops primarily engaged in machining metal and plastic parts and parts of other composite materials on a job or order basis.  Generally machine shop jobs are low volume using machine tools, such as lathes (including computer numerically controlled); automatic screw machines; and machines for boring, grinding, milling, and additive manufacturing.

Cross-References. Establishments primarily engaged in--"
"33272","Turned Product and Screw, Nut, and Bolt ManufacturingT","This industry comprises establishments primarily engaged in (1) machining precision turned products or (2) manufacturing metal bolts, nuts, screws, rivets, and other industrial fasteners.  Included in this industry are establishments primarily engaged in manufacturing parts for machinery and equipment on a custom basis.

Cross-References. Establishments primarily engaged in--"
"332721","Precision Turned Product Manufacturing","This U.S. industry comprises establishments known as precision turned manufacturers primarily engaged in machining precision products of all materials on a job or order basis.  Generally precision turned product jobs are large volume using machines, such as automatic screw machines, rotary transfer machines, computer numerically controlled (CNC) lathes, or turning centers.

Cross-References. Establishments primarily engaged in--"
"332722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing metal bolts, nuts, screws, rivets, washers, and other industrial fasteners using machines, such as headers, threaders, and nut forming machines.

Cross-References. Establishments primarily engaged in--"
"3328","Coating, Engraving, Heat Treating, and Allied ActivitiesT","NULL"
"33281","Coating, Engraving, Heat Treating, and Allied ActivitiesT","This industry comprises establishments primarily engaged in one or more of the following: (1) heat treating metals and metal products; (2) enameling, lacquering, and varnishing metals and metal products; (3) hot dip galvanizing metals and metal products; (4) engraving, chasing, or etching metals and metal products (except jewelry; personal goods carried on or about the person, such as compacts and cigarette cases; precious metal products (except precious plated flatware and other plated ware); and printing plates); (5) powder coating metals and metal products; (6) electroplating, plating, anodizing, coloring, and finishing metals and metal products; and (7) providing other metal surfacing services for the trade.  Establishments in this industry coat, engrave, and heat treat metals and metal formed products fabricated elsewhere.  Included in this industry are establishments that perform these processes on other materials, such as plastics, in addition to metals.

Cross-References. Establishments primarily engaged in--"
"332811","Metal Heat Treating","This U.S. industry comprises establishments primarily engaged in heat treating, such as annealing, tempering, and brazing, and cryogenically treating metals and metal products for the trade.

Cross-References."
"332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) enameling, lacquering, and varnishing metals and metal products; (2) hot dip galvanizing metals and metal products; (3) engraving, chasing, or etching metals and metal products (except jewelry; personal goods carried on or about the person, such as compacts and cigarette cases; precious metal products (except precious plated flatware and other plated ware); and printing plates); (4) powder coating metals and metal products; and (5) providing other metal surfacing services for the trade.  Included in this industry are establishments that perform these processes on other materials, such as plastics, in addition to metals.

Cross-References. Establishments primarily engaged in--"
"332813","Electroplating, Plating, Polishing, Anodizing, and Coloring","This U.S. industry comprises establishments primarily engaged in electroplating, plating, anodizing, coloring, buffing, polishing, cleaning, and sandblasting metals and metal products for the trade.  Included in this industry are establishments that perform these processes on other materials, such as plastics, in addition to metals.

Cross-References."
"3329","Other Fabricated Metal Product ManufacturingT","This industry group comprises establishments primarily engaged in manufacturing fabricated metal products (except forgings and stampings, cutlery and handtools, architectural and structural metals, boilers, tanks, shipping containers, hardware, spring and wire products, machine shop products, turned products, screws, and nuts and bolts).
"
"33291","Metal Valve ManufacturingT","This industry comprises establishments primarily engaged in manufacturing one or more of the following metal valves: (1) industrial valves; (2) fluid power valves and hose fittings; (3) plumbing fixture fittings and trim; and (4) other metal valves and pipe fittings.

Cross-References. Establishments primarily engaged in--"
"332911","Industrial Valve Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing industrial valves and valves for water works and municipal water systems.

Illustrative Examples:

Complete fire hydrants manufacturing
Industrial-type ball valves manufacturing
Industrial-type butterfly valves manufacturing
Industrial-type check valves manufacturing
Industrial-type gate valves manufacturing
Industrial-type globe valves manufacturing
Industrial-type plug valves manufacturing
Industrial-type solenoid valves (except fluid power) manufacturing
Industrial-type steam traps manufacturing
Valves for nuclear applications manufacturing


Cross-References. Establishments primarily engaged in--"
"332912","Fluid Power Valve and Hose Fitting Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing fluid power valves and hose fittings.

Illustrative Examples:

Fluid power aircraft subassemblies manufacturing
Hose assemblies for fluid power systems manufacturing
Hydraulic and pneumatic hose and tube fittings manufacturing
Hydraulic and pneumatic valves manufacturing


Cross-References. Establishments primarily engaged in--"
"332913","Plumbing Fixture Fitting and Trim Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing plumbing fixture fittings and trim of all materials, such as faucets, flush valves, and shower heads.

Cross-References. Establishments primarily engaged in--"
"332919","Other Metal Valve and Pipe Fitting Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing metal valves (except industrial valves, fluid power valves, fluid power hose fittings, and plumbing fixture fittings and trim).

Illustrative Examples:

Aerosol valves manufacturing
Firefighting nozzles manufacturing
Lawn hose nozzles manufacturing
Lawn sprinklers manufacturing
Water traps manufacturing
Metal hose couplings (except fluid power) manufacturing
Metal pipe flanges and flange unions manufacturing
Plumbing and heating inline valves (e.g., check, cutoff, stop) manufacturing


Cross-References. Establishments primarily engaged in--"
"33299","All Other Fabricated Metal Product ManufacturingT","This industry comprises establishments primarily engaged in manufacturing fabricated metal products (except forgings and stampings, cutlery and handtools, architectural and structural metal products, boilers, tanks, shipping containers, hardware, spring and wire products, machine shop products, turned products, screws, nuts and bolts, and metal valves).

Illustrative Examples:

Ammunition manufacturing
Ball and roller bearing manufacturing
Enameled iron and metal sanitary ware manufacturing 
Fabricated pipe and pipe fittings made from purchased metal pipe 
Foil containers (except bags) manufacturing
Industrial pattern manufacturing
Metal safes manufacturing
Portable metal ladders manufacturing
Small arms and other ordnance manufacturing
Steel wool manufacturing


Cross-References. Establishments primarily engaged in--"
"332991","Ball and Roller Bearing Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing ball and roller bearings of all materials.

Cross-References."
"332992","Small Arms Ammunition Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing small arms ammunition.

Cross-References. Establishments primarily engaged in--"
"332993","Ammunition (except Small Arms) Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing ammunition (except small arms).  Examples of products made by these establishments are bombs, depth charges, rockets (except guided missiles), grenades, mines, and torpedoes.

Cross-References. Establishments primarily engaged in--"
"332994","Small Arms, Ordnance, and Ordnance Accessories Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing small arms, other ordnance, and/or ordnance accessories.

Cross-References. Establishments primarily engaged in--"
"332996","Fabricated Pipe and Pipe Fitting Manufacturing","This U.S. industry comprises establishments primarily engaged in fabricating, such as cutting, threading, and bending, metal pipes and pipe fittings made from purchased metal pipe.

Cross-References. Establishments primarily engaged in--"
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing fabricated metal products (except forgings and stampings, cutlery and handtools, architectural and structural metals, boilers, tanks, shipping containers, hardware, spring and wire products, machine shop products, turned products, screws, nuts and bolts, metal valves, ball and roller bearings, ammunition, small arms and other ordnances and accessories, and fabricated pipes and pipe fittings).

Illustrative Examples:

Foil containers (except bags) manufacturing
Industrial pattern manufacturing
Metal hair curlers manufacturing
Metal ironing boards manufacturing
Metal pallets manufacturing
Metal pipe hangers and supports manufacturing
Metal safes manufacturing
Metal vaults (except burial) manufacturing
Permanent metallic magnets manufacturing
Portable metal ladders manufacturing
Sanitary ware (e.g., bathtubs, lavatories, sinks), metal and enameled metal, manufacturing
Steel wool manufacturing 


Cross-References. Establishments primarily engaged in--"
"333","Machinery ManufacturingT","Industries in the Machinery Manufacturing subsector create end products that apply mechanical force, for example, the application of gears and levers, to perform work.  Some important processes for the manufacture of machinery are forging, stamping, bending, forming, and machining that are used to shape individual pieces of metal.  Processes, such as welding and assembling are used to join separate parts together.  Although these processes are similar to those used in metal fabricating establishments, machinery manufacturing is different because it typically employs multiple metal forming processes in manufacturing the various parts of the machine.  Moreover, complex assembly operations are an inherent part of the production process.

In general, design considerations are very important in machinery production.  Establishments specialize in making machinery designed for particular applications.  Thus, design is considered to be part of the production process for the purpose of implementing NAICS.  The NAICS structure reflects this by defining industries and industry groups that make machinery for different applications.  A broad distinction exists between machinery that is generally used in a variety of industrial applications (i.e., general purpose machinery) and machinery that is designed to be used in a particular industry (i.e., special purpose machinery).  Three industry groups consist of special purpose machinery--Agriculture, Construction, and Mining Machinery Manufacturing; Industrial Machinery Manufacturing; and Commercial and Service Industry Machinery Manufacturing.  The other industry groups make general purpose machinery: Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing; Metalworking Machinery Manufacturing; Engine, Turbine, and Power Transmission Equipment Manufacturing; and Other General Purpose Machinery Manufacturing.
"
"3331","Agriculture, Construction, and Mining Machinery ManufacturingT","This industry group comprises establishments primarily engaged in manufacturing one or more of the following: (1) farm machinery and equipment, power mowing equipment, and other powered home lawn and garden equipment; (2) construction machinery, surface mining machinery, and logging equipment; and (3) oil and gas field and underground mining machinery and equipment.
"
"33311","Agricultural Implement ManufacturingT","This industry comprises establishments primarily engaged in manufacturing farm machinery and equipment, powered mowing equipment, and other powered home lawn and garden equipment.

Illustrative Examples:

Combines (i.e., harvester-threshers) manufacturing
Cotton ginning machinery manufacturing
Fertilizing machinery, farm-type, manufacturing
Haying machines manufacturing
Milking machines manufacturing
Planting machines, farm-type, manufacturing
Plows, farm-type, manufacturing
Powered lawnmowers manufacturing
Poultry brooders, feeders, and waterers manufacturing
Snowblowers and throwers, residential-type, manufacturing
Tractors and attachments, lawn and garden-type and farm-type, manufacturing


Cross-References. Establishments primarily engaged in--"
"333111","Farm Machinery and Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing agricultural and farm machinery and equipment, and other turf and grounds care equipment, including planting, harvesting, and grass mowing equipment (except lawn and garden-type).

Illustrative Examples:

Combines (i.e., harvester-threshers) manufacturing
Cotton ginning machinery manufacturing
Feed processing equipment, farm-type, manufacturing
Fertilizing machinery, farm-type, manufacturing
Grass mowing equipment (except lawn and garden) manufacturing
Haying machines manufacturing
Milking machines manufacturing
Planting machines, farm-type, manufacturing
Plows, farm-type, manufacturing
Poultry brooders, feeders, and waterers manufacturing
Tractors and attachments, farm-type, manufacturing


Cross-References. Establishments primarily engaged in--"
"333112","Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing powered lawnmowers, lawn and garden tractors, and other home lawn and garden equipment, such as tillers, shredders, yard vacuums, and leaf blowers.

Cross-References. Establishments primarily engaged in--"
"33312","Construction Machinery ManufacturingT","See industry description for 333120."
"333120","Construction Machinery Manufacturing","This industry comprises establishments primarily engaged in manufacturing construction machinery, surface mining machinery, and logging equipment.

Illustrative Examples:

Backhoes manufacturing
Bulldozers manufacturing
Construction and surface mining-type rock drill bits manufacturing
Construction-type tractors and attachments manufacturing
Off-highway trucks manufacturing
Pile-driving equipment manufacturing
Portable crushing, pulverizing, and screening machinery manufacturing
Powered post hole diggers manufacturing
Road graders manufacturing
Surface mining machinery (except drilling) manufacturing


Cross-References. Establishments primarily engaged in--"
"33313","Mining and Oil and Gas Field Machinery ManufacturingT","This industry comprises establishments primarily engaged in manufacturing oil and gas field and underground mining machinery and equipment.

Illustrative Examples:

Coal breakers, cutters, and pulverizers manufacturing
Core drills, underground mining-type, manufacturing
Mineral processing and beneficiating machinery manufacturing
Mining cars manufacturing
Oil and gas field-type derricks manufacturing
Oil and gas field-type drilling machinery and equipment (except offshore floating platforms) manufacturing
Stationary rock crushing machinery manufacturing
Water well drilling machinery manufacturing


Cross-References. Establishments primarily engaged in--"
"333131","Mining Machinery and Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing underground mining machinery and equipment, such as coal breakers, mining cars, core drills, coal cutters, and rock drills, and (2) manufacturing mineral beneficiating machinery and equipment used in surface or underground mines.

Cross-References. Establishments primarily engaged in--"
"333132","Oil and Gas Field Machinery and Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing oil and gas field machinery and equipment, such as oil and gas field drilling machinery and equipment; oil and gas field production machinery and equipment; and oil and gas field derricks, and (2) manufacturing water well drilling machinery.

Cross-References. Establishments primarily engaged in--"
"3332","Industrial Machinery ManufacturingT","NULL"
"33324","Industrial Machinery ManufacturingT","This industry comprises establishments primarily engaged in manufacturing industrial machinery, such as food and beverage manufacturing machinery, semiconductor manufacturing machinery, sawmill and woodworking machinery (except handheld), machinery for making paper and paper products, printing and binding machinery and equipment, textile making machinery, and machinery for making plastics and rubber products.

Cross-References. Establishments primarily engaged in--"
"333241","Food Product Machinery Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing food and beverage manufacturing-type machinery and equipment, such as dairy product plant machinery and equipment (e.g., homogenizers, pasteurizers, ice cream freezers), bakery machinery and equipment (e.g., dough mixers, bake ovens, pastry rolling machines), meat and poultry processing and preparation machinery, and other commercial food products machinery (e.g., slicers, choppers, and mixers).

Cross-References. Establishments primarily engaged in--"
"333242","Semiconductor Machinery Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing wafer processing equipment, semiconductor assembly and packaging equipment, and other semiconductor making machinery.

Cross-References. Establishments primarily engaged in--"
"333243","Sawmill, Woodworking, and Paper Machinery Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing sawmill and woodworking machinery (except handheld), such as circular and band sawing equipment, planing machinery, and sanding machinery, and/or (2) manufacturing paper industry machinery for making paper and paper products, such as pulp making machinery, paper and paperboard making machinery, and paper and paperboard converting machinery.

Cross-References. Establishments primarily engaged in--"
"333248","All Other Industrial Machinery Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing industrial machinery (except agricultural and farm-type; construction and mining machinery; food manufacturing-type machinery; semiconductor making machinery; and sawmill, woodworking, and paper making machinery).

Illustrative Examples:

Additive manufacturing machinery manufacturing
Bookbinding machines manufacturing
Chemical processing machinery and equipment manufacturing
Cigarette making machinery manufacturing
Glass making machinery (e.g., blowing, forming, molding) manufacturing
Petroleum refining machinery manufacturing
Plastics working machinery manufacturing
Printing presses manufacturing
Rubber working machinery manufacturing
Sewing machines (including household-type) manufacturing
Shoe making and repairing machinery manufacturing
Tannery machinery manufacturing 
Textile making machinery manufacturing


Cross-References. Establishments primarily engaged in--"
"3333","Commercial and Service Industry Machinery ManufacturingT","NULL"
"33331","Commercial and Service Industry Machinery ManufacturingT","See industry description for 333310."
"333310","Commercial and Service Industry Machinery Manufacturing","This industry comprises establishments primarily engaged in manufacturing commercial and service industry machinery, such as optical instruments and lenses (except ophthalmic), photographic and photocopying equipment, automatic vending machinery, commercial laundry and drycleaning machinery, office machinery, automotive maintenance equipment (except mechanics' handtools), and commercial-type cooking equipment.

Cross-References. Establishments primarily engaged in--"
"3334","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment ManufacturingT","NULL"
"33341","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment ManufacturingT","This industry comprises establishments primarily engaged in manufacturing ventilating, heating, air-conditioning, and commercial and industrial refrigeration and freezer equipment.

Illustrative Examples:

Air-conditioner filters manufacturing
Air-conditioning and warm air heating combination units manufacturing
Attic fans manufacturing
Dust and fume collecting equipment manufacturing 
Gas fireplaces manufacturing
Heating boilers manufacturing
Industrial and commercial-type fans manufacturing
Refrigerated counter and display cases manufacturing
Refrigerated drinking fountains manufacturing
Space heaters (except portable electric) manufacturing 


Cross-References. Establishments primarily engaged in--"
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing stationary air purification equipment, such as industrial dust and fume collection equipment, electrostatic precipitation equipment, warm air furnace filters, air washers, and other dust collection equipment, and/or (2) manufacturing attic fans and industrial and commercial fans and blowers, such as commercial exhaust fans and commercial ventilating fans.

Cross-References. Establishments primarily engaged in--"
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing heating equipment (except electric and warm air furnaces), such as heating boilers, heating stoves, floor and wall furnaces, and wall and baseboard heating units.

Cross-References. Establishments primarily engaged in--"
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing air-conditioning (except motor vehicle) and warm air furnace equipment and/or (2) manufacturing commercial and industrial refrigeration and freezer equipment.

Illustrative Examples:

Air-conditioning and warm air heating combination units manufacturing
Air-conditioning compressors (except motor vehicle) manufacturing
Air-conditioning condensers and condensing units manufacturing
Dehumidifiers (except portable electric) manufacturing
Heat pumps manufacturing
Humidifying equipment (except portable) manufacturing
Refrigerated counter and display cases manufacturing
Refrigerated drinking fountains manufacturing
Snow making machinery manufacturing
Soda fountain cooling and dispensing equipment manufacturing


Cross-References. Establishments primarily engaged in--"
"3335","Metalworking Machinery ManufacturingT","NULL"
"33351","Metalworking Machinery ManufacturingT","This industry comprises establishments primarily engaged in manufacturing metalworking machinery, such as metal cutting and metal forming machine tools; cutting tools; accessories for metalworking machinery; special dies, tools, jigs, and fixtures; industrial molds; rolling mill machinery; assembly machinery; coil handling, conversion, or straightening equipment; and wire drawing and fabricating machines.

Cross-References. Establishments primarily engaged in--"
"333511","Industrial Mold Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing industrial molds for casting metals or forming other materials, such as plastics, glass, or rubber.

Cross-References."
"333514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","This U.S. industry comprises establishments, known as tool and die shops, primarily engaged in manufacturing special tools and fixtures, such as cutting dies and jigs.

Cross-References. Establishments primarily engaged in--"
"333515","Cutting Tool and Machine Tool Accessory Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing accessories and attachments for metal cutting and metal forming machine tools.

Illustrative Examples:

Knives and bits for metalworking lathes, planers, and shapers manufacturing
Measuring attachments (e.g., sine bars) for machine tool manufacturing
Metalworking drill bits manufacturing
Taps and dies (i.e., machine tool accessories) manufacturing


Cross-References."
"333517","Machine Tool Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing metal cutting machine tools (except handtools) and/or (2) manufacturing metal forming machine tools (except handtools), such as punching, sheering, bending, forming, pressing, forging and die-casting machines.

Illustrative Examples:

Bending and forming machines, metalworking, manufacturing
Buffing and polishing machines, metalworking, manufacturing
Drilling machines, metalworking, manufacturing
Grinding machines, metalworking, manufacturing
Home workshop metal cutting machine tools (except handtools, welding equipment) manufacturing
Metalworking lathes manufacturing
Milling machines, metalworking, manufacturing
Stamping machines, metalworking, manufacturing


Cross-References. Establishments primarily engaged in--"
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing rolling mill machinery and equipment and/or other metalworking machinery (except industrial molds; special dies and tools, die sets, jigs, and fixtures; cutting tools and machine tool accessories; and machine tools).

Illustrative Examples:

Assembly machines (i.e., wire making equipment) manufacturing
Cradle assembly machinery (i.e., wire making equipment) manufacturing
Metalworking coil winding and cutting machinery manufacturing
Rolling mill roll machines, metalworking, manufacturing
Wire drawing and fabricating machinery and equipment (except dies) manufacturing


Cross-References. Establishments primarily engaged in--"
"3336","Engine, Turbine, and Power Transmission Equipment ManufacturingT","NULL"
